"Toyota Camry" "$ 22 000 1 833 920 сом" " 2018 г., 2.5 л., автомат,седан, бензин,руль слева, 88 514 км, цвет: синий" https://im.mashina.kg/tachka/images//1/a/3/1a385807045e09b83d851219fdfcb80f_240x180.jpg
"Toyota Camry" "$ 27 800 2 317 408 сом" " 2019 г., 2.5 л., автомат,седан, бензин,руль слева, 40 000 км, цвет: серый" https://im.mashina.kg/tachka/images//a/3/2/a32902919aa23f8c15cb51c9ad1bb64d_240x180.jpg
"Kia Sportage" "$ 21 800 1 817 248 сом" " 2018 г., 2 л., автомат,внедорожник 5 дв., дизель,руль слева, 122 000 км, цвет: белый" https://im.mashina.kg/tachka/images//e/3/c/e3cc1b27ac22d59e30821acbe55ab370_240x180.jpg
"Lexus ES" "$ 34 000 2 834 240 сом" " 2016 г., 2.5 л., вариатор,седан, гибрид,руль слева, 74 000 км, цвет: белый" https://im.mashina.kg/tachka/images//8/1/f/81f674e0eb5b291987b75760d458c589_240x180.jpg
"Mercedes-Benz E-класс" "$ 13 000 1 083 680 сом" " 2009 г., 2.1 л., автомат,седан, дизель,руль слева, 200 000 км, цвет: черный" https://im.mashina.kg/tachka/images//0/b/6/0b6f90c84fc70099a862970cc6bd4aed_240x180.jpg
"BMW X5" "$ 48 000 4 001 280 сом" " 2016 г., 3 л., автомат,внедорожник 5 дв., дизель,руль слева, 120 000 км, цвет: черный" https://im.mashina.kg/tachka/images//e/e/b/eebe16b5f7e85ee31d44566d313db061_240x180.jpg
"BMW 5 Серия" "$ 5 500 458 480 сом" " 1995 г., 2.5 л., механика,седан, бензин,руль слева, 300 000 км, цвет: белый" https://im.mashina.kg/tachka/images//e/3/0/e305941259efa6c902dba0cb9f960788_240x180.jpg
"Honda Fit" "$ 9 000 750 240 сом" " 2008 г., 1.5 л., автомат,хэтчбек 5 дв., бензин,руль слева, 125 000 км, цвет: хамелеон" https://im.mashina.kg/tachka/images//a/2/1/a21f7176ab529bc1bbb7ce2bc213bdd1_240x180.jpg
"Nissan Rogue" "$ 17 900 1 492 144 сом" " 2016 г., 2.5 л., вариатор,внедорожник 5 дв., бензин,руль слева, 64 000 км, цвет: черный" https://im.mashina.kg/tachka/images//4/9/d/49dc4e4b1f9ad0de7f789d8f999b840b_240x180.jpg
"Mercedes-Benz E-класс" "$ 10 800 900 288 сом" " 2003 г., 3.2 л., автомат,седан, бензин,руль слева, 230 000 км, цвет: хамелеон" https://im.mashina.kg/tachka/images//b/3/a/b3ad0d70625164f500e18fd8c037ef95_240x180.jpg
"Toyota Corolla" "$ 5 938 495 000 сом" " 2006 г., 1.4 л., механика,седан, бензин,руль слева, 305 000 км, цвет: голубой" https://im.mashina.kg/tachka/images//1/6/f/16f8ac48c120ec99a0fe218d0908439e_240x180.jpg
"Lexus ES" "$ 35 800 2 984 288 сом" " 2018 г., 2.5 л., вариатор,седан, гибрид,руль слева, 172 000 км, цвет: белый" https://im.mashina.kg/tachka/images//b/6/2/b6288ca0ede09d90a361737c1c06566e_240x180.jpg
"Lexus RX" "$ 85 000 7 085 600 сом" " 2021 г., 3.5 л., автомат,внедорожник 5 дв., бензин,руль слева, 13 000 км, цвет: черный" https://im.mashina.kg/tachka/images//e/4/e/e4e1c754a2934ad19e9c1bb4a58f5b3d_240x180.jpg
"Toyota Corolla" "$ 23 900 1 992 304 сом" " 2020 г., 1.8 л., вариатор,седан, гибрид,руль слева, 86 000 км, цвет: черный" https://im.mashina.kg/tachka/images//9/0/a/90aa9768cbc0aac196d2dd8fc39a64ef_240x180.jpg
"Toyota Camry" "$ 26 900 2 242 384 сом" " 2019 г., 2.5 л., автомат,седан, бензин,руль слева, 25 100 км, цвет: белый" https://im.mashina.kg/tachka/images//f/6/9/f695142a95189e9dd8252371099abb1e_240x180.jpg
"Toyota Camry" "$ 33 500 2 792 560 сом" " 2021 г., 2.5 л., автомат,седан, бензин,руль слева, 16 000 км, цвет: белый" https://im.mashina.kg/tachka/images//b/a/3/ba3b290ca2b94c133d4b44e6bbb152f5_240x180.jpg
"BMW X5 M" "$ 63 000 5 251 680 сом" " 2016 г., 4.4 л., автомат,внедорожник 5 дв., бензин,руль слева, 91 000 км, цвет: серый" https://im.mashina.kg/tachka/images//2/4/1/2415fb2cde09601f34db44a34654c7c6_240x180.jpg
"Daewoo Nexia" "$ 4 199 350 000 сом" " 2012 г., 1.6 л., механика,седан, бензин,руль слева, 75 000 км, цвет: серебристый" https://im.mashina.kg/tachka/images//3/3/a/33aa7e31ab05e44810b9719eb61d3d66_240x180.jpg
"Toyota Ipsum" "$ 8 800 733 568 сом" " 2004 г., 2.4 л., автомат,компактвэн, бензин,руль справа, 300 000 км, цвет: белый" https://im.mashina.kg/tachka/images//8/e/5/8e510d8ff76ddbfcc47072166d1c9d83_240x180.jpg
